45081,47887
45081,47802
45072,46157
45072,46164
45044,47998
45064,46123
45073,45747
45073,47818
45073,47150
47861,46163
48014,44969
48014,44771
48014,46160
48014,47151
48028,48412
48028,45083
45078,45054
45078,46705
45078,46163
45066,47995
47982,46125
47982,46689
47982,47122
44748,47773
44748,44718
44748,46556
44748,45742
44759,47799
44759,47730
47766,47790
47766,47831
47766,47768
47766,47731
44768,47772
44768,45764
44768,47837
47739,46719
47739,46723
47739,45750
44744,46702
44744,47795
44751,48031
44751,47792
44751,45751
44751,47767
44771,44765
44771,47805
44761,46696
44761,46687
44761,47730
44761,45735
47762,47839
47762,45755
47762,47754
47762,47731
47788,46694
47788,45753
44758,47774
44743,46707
44743,47789
44743,47803
44743,47874
44767,47733
44767,45760
44767,47796
47768,47790
47768,47831
47764,47776
47764,44723
47764,47996
46351,46370
46351,48371
46351,47601
46329,46338
46329,48368
46330,46353
46330,48395
46336,47552
46336,47550
46336,48397
46348,48374
46348,46328
46343,48367
46343,48360
46343,47573
46357,48401
46357,48358
48364,46370
48364,48357
46328,48408
46328,44940
46352,47559
46352,47549
46344,48387
46344,48382
48365,46740
48365,48356
48365,47604
46337,48393
46337,48386
46337,48369
46380,48366
46380,46342
46380,45187
46370,48371
46334,48403
46334,44922
46334,47587
46341,48379
46341,48353
46341,47572
48099,48436
48099,46533
48095,45362
48095,48098
48095,48130
48127,48148
48127,44726
48127,46534
48094,48110
48094,48455
48094,48435
48120,45408
48120,44733
48120,46574
48125,46535
48125,46576
48125,46557
48132,45416
48132,45419
48148,47763
48148,45369
48148,47773
48133,46542
48138,47776
48138,45759
48136,45375
48136,44716
48136,46550
48116,48112
48116,45774
48116,45368
48113,45373
48113,48436
48113,45377
48096,45379
48096,48553
48140,48101
48140,44753
48140,45417
48140,45376
48129,48443
48129,45388
48129,46538
48129,46558
48134,48454
48134,48453
48141,48111
48141,46544
48141,45374
47760,47749
47760,47734
46696,47839
46696,47730
46687,47756
46687,45740
46687,47796
47790,47798
47790,47841
47733,45759
47733,48460
47733,45773
47773,45747
47773,46556
47839,45755
46694,45753
46694,47736
46702,46723
46702,47868
46719,47811
46719,47868
46719,44740
47807,47746
47807,47840
46679,47742
46679,44716
47772,45764
47772,47770
47772,45742
46707,45751
46707,47874
46707,47753
48031,47771
48031,44736
46063,47723
46063,48587
46063,45413
46060,48596
46060,48589
46055,48570
46055,45586
46055,48577
46052,48572
46052,45415
46053,47735
48602,46059
48602,45414
46048,48568
46064,48557
46061,46580
46059,46575
48640,48558
46062,48093
46062,45368
46062,45411
46131,45047
46131,48411
46131,47170
46131,47149
46171,46124
46171,47177
46171,47896
46171,47126
46127,45048
46127,48019
46127,46682
46160,44961
46160,47133
46144,47902
46144,46789
46144,47158
46153,46781
46153,47167
46153,44917
46172,47659
46172,47174
46172,47171
46172,46758
46137,47129
46137,44968
46137,44961
46137,45060
47993,47870
47993,47137
47993,44970
47993,46157
46151,46159
46151,45060
46151,47149
46151,46796
46156,46786
46156,47179
46156,46755
46156,47660
48410,47919
48410,47135
48410,44914
46121,45061
46121,46364
46121,46147
46148,46124
46148,44940
46148,47908
46148,47173
46161,47994
46161,48013
46161,46157
46161,46120
47138,47870
47138,46788
47138,46743
47724,45412
48569,48595
48564,48583
48600,45409
48563,45405
47723,45413
48554,46583
48554,46580
48558,45403
48568,48584
48578,47735
48578,48571
48553,45368
48573,48584
48588,48597
48098,48458
48098,45362
48101,45417
48093,45368
48093,48585
48093,48439
48121,47996
48121,45786
48115,48440
48115,44718
48115,45379
46574,48592
46574,45388
46580,45404
46558,46557
46576,48445
46576,46557
46576,45376
46579,48586
46579,45360
48111,45374
48111,46533
48124,45412
48124,44752
48110,48435
46577,44715
48583,48571
48583,45401
48597,45414
48566,45406
48566,48438
48571,47735
48555,48449
48555,48450
48604,45403
48592,45409
48556,45403
48556,45405
48570,45399
48593,45404
48596,45416
48585,45411
47157,47860
47157,46146
47157,46150
47157,45048
47122,48398
47122,44914
47122,46128
47149,46796
47149,46780
47676,47144
47676,47163
47676,47179
47676,47148
47126,47177
47126,46174
47126,46790
47178,45062
47178,47884
47178,44969
47178,47977
47151,47881
47151,44961
47151,46749
47167,46781
47170,45061
47170,46780
47170,47141
47660,46747
47660,46136
47660,46786
47136,47135
47136,45058
47136,46169
47136,47158
47174,47659
47174,47629
47174,47998
47173,48401
47173,47911
47173,44915
47162,47141
47162,46147
47162,47177
47162,47896
47152,46786
